time,ax,ay,az,atotal
4.043,-0.00,-0.01,-0.07,0.07
4.053,-0.01,-0.00,-0.04,0.05
4.063,-0.01,-0.00,-0.03,0.04
4.073,-0.02,-0.00,-0.04,0.05
4.083,-0.01,-0.01,-0.04,0.05
4.093,-0.00,-0.01,-0.04,0.04
4.103,-0.01,0.00,-0.05,0.05
4.113,0.02,0.01,-0.07,0.07
4.124,-0.01,-0.01,-0.05,0.05
4.133,-0.01,-0.01,-0.06,0.06
4.144,0.01,-0.00,-0.06,0.06
4.154,-0.02,0.00,-0.05,0.06
4.164,-0.00,-0.01,-0.05,0.05
4.174,0.01,-0.01,-0.06,0.06
4.184,0.01,-0.01,-0.03,0.04
4.194,-0.00,0.01,-0.04,0.04
4.204,-0.00,0.01,-0.05,0.05
4.214,-0.01,0.00,-0.04,0.05
4.224,-0.01,-0.01,-0.03,0.03
4.234,-0.01,0.01,-0.04,0.05
4.244,-0.00,-0.00,-0.05,0.05
4.254,-0.00,-0.02,-0.06,0.06
4.265,-0.01,0.00,-0.04,0.04
4.275,-0.00,-0.00,-0.05,0.05
4.285,0.00,0.01,-0.06,0.06
4.295,0.00,0.00,-0.06,0.06
4.305,0.01,0.00,-0.05,0.05
4.315,0.00,-0.01,-0.04,0.04
4.325,-0.00,-0.00,-0.05,0.05
4.335,-0.01,0.00,-0.05,0.05
4.345,-0.00,0.00,-0.04,0.04
4.355,-0.01,-0.01,-0.05,0.05
4.365,0.01,-0.01,-0.05,0.06
4.376,-0.01,0.00,-0.06,0.06
4.386,-0.00,-0.00,-0.04,0.04
4.396,-0.01,-0.01,-0.06,0.06
4.406,-0.01,-0.01,-0.04,0.04
4.416,0.01,-0.00,-0.05,0.05
4.426,0.01,-0.00,-0.04,0.04
4.436,-0.01,-0.00,-0.04,0.04
4.446,-0.00,-0.01,-0.03,0.04
4.456,-0.01,-0.02,-0.05,0.05
4.466,0.01,0.00,-0.05,0.05
4.476,-0.00,0.00,-0.06,0.06
4.486,0.01,-0.01,-0.05,0.05
4.496,-0.00,-0.00,-0.05,0.05
4.507,-0.00,0.00,-0.05,0.05
4.517,-0.01,0.00,-0.04,0.04
4.527,0.01,-0.00,-0.05,0.05
4.537,0.01,-0.00,-0.05,0.05
4.547,-0.01,-0.00,-0.06,0.06
4.557,-0.01,-0.01,-0.05,0.06
4.567,0.00,-0.01,-0.05,0.05
4.577,0.00,-0.00,-0.05,0.05
4.587,-0.01,-0.00,-0.05,0.05
4.597,-0.00,-0.01,-0.04,0.05
4.607,0.00,-0.01,-0.04,0.04
4.618,-0.00,-0.01,-0.04,0.05
4.628,-0.01,0.00,-0.05,0.05
4.638,-0.01,-0.01,-0.05,0.06
4.648,-0.00,0.01,-0.04,0.04
4.658,-0.01,-0.01,-0.04,0.05
4.668,0.00,0.00,-0.04,0.04
4.678,-0.01,0.00,-0.05,0.05
4.688,-0.01,0.00,-0.04,0.04
4.698,-0.00,0.00,-0.04,0.04
4.708,0.00,0.01,-0.03,0.03
4.718,-0.00,0.01,-0.05,0.05
4.728,-0.02,-0.01,-0.05,0.05
4.738,-0.01,-0.00,-0.04,0.04
4.748,0.00,0.01,-0.04,0.04
4.759,-0.01,0.00,-0.05,0.05
4.769,0.00,-0.00,-0.06,0.06
4.779,-0.00,0.00,-0.06,0.06
4.789,-0.01,-0.01,-0.03,0.03
4.799,-0.01,0.00,-0.05,0.05
4.809,0.01,-0.00,-0.05,0.05
4.819,0.02,-0.00,-0.04,0.04
4.829,0.00,0.00,-0.04,0.04
4.839,-0.00,-0.00,-0.05,0.05
4.849,0.02,0.00,-0.06,0.06
4.859,-0.00,-0.01,-0.04,0.04
4.870,-0.02,-0.01,-0.03,0.04
4.879,-0.01,-0.01,-0.05,0.05
4.890,-0.03,0.01,-0.04,0.05
4.900,0.00,-0.01,-0.04,0.04
4.910,0.01,0.01,-0.04,0.04
4.920,-0.00,-0.01,-0.05,0.05
4.930,-0.02,-0.01,-0.05,0.06
4.940,-0.00,-0.01,-0.06,0.06
4.950,0.00,-0.01,-0.04,0.04
4.960,-0.01,-0.01,-0.03,0.04
4.970,-0.00,-0.01,-0.03,0.04
4.980,0.00,0.01,-0.05,0.05
4.991,-0.01,0.00,-0.05,0.05
5.001,-0.00,-0.01,-0.05,0.05
5.011,-0.01,-0.00,-0.04,0.05
5.021,0.00,-0.02,-0.06,0.06
5.031,0.00,-0.01,-0.06,0.06
5.041,0.01,0.02,-0.05,0.06
5.051,0.00,-0.00,-0.04,0.04
5.061,-0.01,0.00,-0.04,0.04
5.071,-0.01,-0.00,-0.06,0.06
5.081,0.02,0.00,-0.04,0.05
5.091,0.01,-0.01,-0.06,0.06
5.101,0.00,-0.00,-0.04,0.05
5.111,0.01,-0.00,-0.04,0.04
5.122,-0.00,0.00,-0.04,0.04
5.132,0.00,0.01,-0.04,0.04
5.142,0.01,-0.00,-0.04,0.04
5.152,0.01,0.01,-0.05,0.06
5.162,0.00,-0.00,-0.06,0.06
5.172,-0.01,-0.00,-0.05,0.05
5.182,-0.00,0.01,-0.05,0.05
5.192,0.00,-0.00,-0.05,0.05
5.202,-0.01,0.00,-0.05,0.05
5.212,-0.02,-0.02,-0.06,0.06
5.222,-0.01,-0.01,-0.05,0.05
5.232,-0.01,0.00,-0.05,0.05
5.242,0.01,-0.02,-0.05,0.05
5.253,0.00,-0.01,-0.04,0.04
5.263,-0.01,-0.00,-0.04,0.04
5.273,0.00,0.00,-0.04,0.04
5.283,-0.02,-0.00,-0.04,0.04
5.293,0.00,-0.00,-0.05,0.05
5.303,-0.01,-0.01,-0.04,0.04
5.313,0.00,0.00,-0.05,0.05
5.323,-0.00,0.01,-0.04,0.04
5.333,0.00,-0.01,-0.05,0.05
5.343,-0.01,0.00,-0.06,0.06
5.353,-0.00,-0.01,-0.05,0.05
5.364,-0.00,0.00,-0.04,0.04
5.374,-0.01,-0.01,-0.05,0.05
5.384,0.00,-0.02,-0.04,0.04
5.394,0.02,0.01,-0.05,0.05
5.404,0.00,-0.00,-0.05,0.05
5.414,-0.00,-0.01,-0.04,0.04
5.424,0.00,-0.01,-0.05,0.05
5.434,-0.01,-0.01,-0.06,0.06
5.444,0.01,-0.01,-0.04,0.05
5.454,0.00,-0.00,-0.04,0.04
5.464,0.02,-0.00,-0.07,0.07
5.474,0.00,0.00,-0.06,0.06
5.484,0.02,-0.00,-0.05,0.06
5.495,0.01,-0.01,-0.04,0.04
5.505,-0.01,0.00,-0.06,0.06
