time,ax,ay,az,atotal
4.757,-0.21,0.04,0.27,0.35
4.768,-0.42,-0.20,0.19,0.50
4.778,-0.65,-0.38,0.13,0.77
4.788,-0.96,-0.52,0.07,1.09
4.798,-1.29,-0.61,0.01,1.42
4.808,-1.66,-0.64,-0.02,1.78
4.818,-1.96,-0.59,-0.10,2.05
4.828,-2.21,-0.35,-0.21,2.25
4.838,-2.48,0.00,-0.44,2.52
4.848,-2.73,0.63,-0.79,2.91
4.858,-2.75,1.50,-1.06,3.31
4.868,-2.82,2.36,-1.17,3.85
4.878,-2.94,2.96,-1.10,4.32
4.888,-3.01,3.41,-0.67,4.60
4.898,-2.89,3.68,-0.07,4.68
4.909,-2.50,3.76,0.62,4.56
4.919,-1.93,4.02,1.23,4.63
4.929,-1.55,4.28,1.47,4.79
4.939,-1.34,4.36,1.32,4.75
4.949,-1.34,4.27,0.93,4.58
4.959,-1.46,4.01,0.48,4.29
4.969,-1.54,3.59,0.18,3.91
4.979,-1.58,3.14,0.08,3.52
4.989,-1.66,2.57,0.14,3.06
4.999,-1.67,1.94,0.26,2.57
5.010,-1.66,1.39,0.38,2.20
5.019,-1.62,0.96,0.45,1.94
5.030,-1.58,0.54,0.43,1.72
5.039,-1.46,0.23,0.38,1.53
5.050,-1.26,0.17,0.20,1.29
5.060,-1.05,0.11,-0.14,1.07
5.070,-0.80,0.02,-0.48,0.94
5.080,-0.62,-0.05,-0.71,0.95
5.090,-0.52,-0.19,-0.88,1.04
5.100,-0.46,-0.43,-0.88,1.08
5.110,-0.40,-0.66,-0.77,1.09
5.120,-0.41,-0.85,-0.65,1.14
5.130,-0.55,-1.07,-0.56,1.33
5.140,-0.69,-1.29,-0.45,1.54
5.150,-0.81,-1.43,-0.44,1.70
5.160,-0.92,-1.53,-0.54,1.86
5.171,-0.97,-1.60,-0.70,2.00
5.181,-0.98,-1.61,-0.88,2.08
5.191,-0.94,-1.55,-1.00,2.07
5.201,-0.82,-1.46,-1.02,1.96
5.211,-0.68,-1.35,-1.00,1.82
5.221,-0.59,-1.30,-0.97,1.72
5.231,-0.61,-1.30,-0.90,1.69
5.241,-0.72,-1.31,-0.85,1.72
5.251,-0.73,-1.32,-0.68,1.65
5.261,-0.78,-1.35,-0.45,1.62
5.271,-0.78,-1.27,-0.34,1.53
5.281,-0.76,-1.02,-0.37,1.32
5.292,-0.79,-0.84,-0.37,1.21
5.302,-0.87,-0.74,-0.33,1.19
5.312,-0.75,-0.62,-0.28,1.01
5.322,-0.63,-0.40,-0.26,0.79
5.332,-0.51,-0.21,-0.23,0.60
5.342,-0.41,-0.14,-0.14,0.45
5.352,-0.32,-0.12,0.00,0.34
5.362,-0.24,-0.09,0.16,0.30
5.372,0.05,-0.00,0.30,0.31
5.382,0.54,0.09,0.49,0.73
5.393,0.97,0.24,0.67,1.21
5.402,1.15,0.26,0.77,1.41
5.413,1.30,0.18,0.77,1.53
5.423,1.52,0.19,0.79,1.72
5.433,1.74,0.25,0.77,1.92
5.443,1.83,0.18,0.69,1.96
5.453,1.84,-0.01,0.74,1.99
5.463,1.86,-0.21,0.95,2.10
5.473,1.85,-0.42,1.21,2.25
5.483,1.86,-0.60,1.40,2.40
5.493,1.81,-0.71,1.38,2.38
5.503,1.72,-0.79,1.04,2.16
5.513,1.65,-0.88,0.54,1.95
5.523,1.66,-0.97,0.07,1.92
5.534,1.64,-1.10,-0.38,2.01
5.543,1.67,-1.19,-0.69,2.17
5.554,1.73,-1.29,-0.93,2.35
5.564,1.66,-1.40,-1.05,2.41
5.574,1.51,-1.61,-0.97,2.41
5.584,1.40,-1.84,-0.73,2.42
5.594,1.39,-1.97,-0.37,2.44
5.604,1.47,-2.00,0.00,2.49
5.614,1.52,-1.87,0.30,2.43
5.624,1.66,-1.59,0.38,2.33
5.634,1.90,-1.13,0.39,2.25
5.644,2.25,-0.46,0.29,2.31
5.655,2.69,0.26,0.15,2.71
5.664,3.20,0.92,0.19,3.33
5.675,3.78,1.64,0.48,4.15
5.685,4.23,2.13,1.03,4.85
5.695,4.55,2.25,1.69,5.35
5.705,4.60,2.31,2.12,5.57
5.715,4.44,2.41,2.22,5.52
5.725,3.90,2.62,2.16,5.17
5.735,3.19,2.72,2.04,4.66
5.745,2.63,2.58,2.00,4.19
5.755,2.34,2.37,1.99,3.88
5.765,2.21,2.12,1.88,3.59
5.776,2.05,1.78,1.79,3.25
5.785,2.00,1.41,1.69,2.97
5.796,1.90,1.08,1.56,2.68
5.806,1.76,0.78,1.44,2.41
5.816,1.60,0.46,1.12,2.01
5.826,1.30,0.06,0.57,1.42
5.836,1.17,-0.01,0.29,1.21
5.846,1.25,0.11,0.06,1.25
5.856,1.20,-0.14,-0.23,1.23
5.866,1.02,-0.47,-0.25,1.15
5.876,0.80,-0.58,0.04,0.99
5.886,0.64,-0.55,0.31,0.89
5.896,0.54,-0.74,0.20,0.94
5.906,0.47,-0.88,-0.00,0.99
5.917,0.44,-0.90,-0.09,1.01
5.926,0.33,-0.97,-0.13,1.03
5.937,0.15,-1.07,-0.11,1.09
5.947,-0.02,-1.22,-0.07,1.23
5.957,-0.14,-1.36,0.05,1.37
5.967,-0.33,-1.47,0.24,1.53
5.977,-0.47,-1.55,0.32,1.65
5.987,-0.64,-1.63,0.34,1.78
5.997,-0.75,-1.65,0.34,1.84
6.007,-0.71,-1.53,0.33,1.71
6.017,-0.98,-1.47,0.10,1.77
6.027,-1.05,-1.49,0.07,1.82
6.038,-1.01,-1.38,0.20,1.72
6.048,-0.86,-1.21,0.36,1.53
6.058,-0.69,-1.01,0.52,1.33
6.068,-0.55,-0.68,0.50,1.01
6.078,-0.44,-0.41,0.30,0.68
6.088,-0.45,-0.18,0.02,0.48
6.098,-0.47,0.09,-0.28,0.55
6.108,-0.47,0.34,-0.63,0.86
6.118,-0.52,0.68,-0.96,1.29
6.128,-0.46,0.98,-1.04,1.50
6.138,-0.29,1.18,-0.88,1.50
6.148,-0.13,1.25,-0.73,1.45
6.159,-0.03,1.23,-0.67,1.40
6.169,-0.23,1.05,-0.58,1.22
6.179,-0.60,0.76,-0.51,1.09
6.189,-1.09,0.40,-0.36,1.22
6.199,-1.67,0.00,-0.15,1.67
6.209,-2.21,-0.35,0.03,2.24
6.219,-2.60,-0.59,0.10,2.67
6.229,-2.83,-0.67,0.11,2.91
6.239,-2.86,-0.55,0.04,2.91
6.249,-2.69,-0.39,-0.04,2.72
6.259,-2.29,-0.25,-0.14,2.30
6.269,-1.71,-0.04,-0.17,1.71
6.279,-1.26,0.16,-0.17,1.28
6.289,-1.01,0.21,-0.17,1.05
6.300,-0.81,0.19,-0.09,0.83
6.309,-0.69,0.20,0.10,0.72
6.320,-0.68,0.16,0.23,0.73
6.330,-0.80,0.08,0.28,0.85
6.340,-0.88,0.07,0.26,0.92
6.350,-0.90,0.16,0.17,0.93
6.360,-0.94,0.26,0.11,0.99
6.370,-1.01,0.36,0.17,1.08
6.380,-1.20,0.54,0.26,1.34
6.390,-1.43,0.62,0.35,1.60
6.401,-1.69,0.75,0.37,1.88
6.410,-1.88,1.07,0.35,2.19
6.421,-1.89,1.57,0.24,2.47
6.431,-1.77,2.14,0.06,2.78
6.441,-1.51,2.62,-0.14,3.03
6.451,-1.37,2.94,-0.26,3.25
6.461,-1.19,3.11,-0.39,3.35
6.471,-0.89,3.11,-0.61,3.29
